,DATETIME,VN1,VN2,DVN1,DVN2,VN1_SMOOTH,VN2_SMOOTH
0,2023-02-23 23:05:00,,4.04,,0.0279,55.79,12.553333333333333
1,2023-02-23 23:07:00,53.64,,0.3921,,55.79,12.553333333333333
2,2023-02-23 23:13:00,61.44,,0.4374,,55.79,12.553333333333333
3,2023-02-23 23:18:00,,16.09,,0.1396,55.222,11.432500000000001
4,2023-02-23 23:20:00,60.86,,0.4183,,55.222,9.452
5,2023-02-23 23:22:00,,17.53,,0.1351,55.222,9.452
6,2023-02-23 23:25:00,47.22,,0.3202,,58.25666666666667,10.805
7,2023-02-23 23:35:00,,8.07,,0.178,64.24333333333334,11.593333333333334
8,2023-02-23 23:37:00,52.95,,0.371,,64.24333333333334,11.593333333333334
9,2023-02-23 23:40:00,,1.53,,0.0114,64.92,10.693999999999999
10,2023-02-23 23:43:00,73.43,,0.5007,,64.92,8.985
11,2023-02-23 23:48:00,,9.35,,0.1448,74.424,11.882
12,2023-02-23 23:50:00,79.72,,0.5843,,74.424,13.704999999999998
13,2023-02-23 23:52:00,,16.99,,0.1305,74.424,13.704999999999998
14,2023-02-23 23:55:00,71.28,,0.5914,,78.70833333333333,14.831999999999999
15,2023-02-24 00:05:00,,23.47,,0.1914,87.75999999999999,18.686666666666667
16,2023-02-24 00:07:00,94.74,,0.7854,,87.75999999999999,18.686666666666667
17,2023-02-24 00:10:00,,22.82,,0.1871,89.368,20.554000000000002
18,2023-02-24 00:13:00,100.13,,0.8344,,89.368,21.445
19,2023-02-24 00:18:00,,20.48,,0.1751,90.612,16.479999999999997
20,2023-02-24 00:20:00,91.12,,0.8079,,90.612,11.683333333333332
21,2023-02-24 00:22:00,,19.01,,0.2007,85.42833333333333,11.683333333333332
22,2023-02-24 00:25:00,89.57,,0.8435,,85.42833333333333,9.325999999999999
23,2023-02-24 00:35:00,,-3.38,,0.1599,62.03833333333333,3.68
24,2023-02-24 00:37:00,77.5,,0.8495,,62.03833333333333,3.68
25,2023-02-24 00:40:00,,-12.3,,0.1481,56.222,0.3200000000000003
26,2023-02-24 00:42:00,59.51,,0.6966,,56.222,-4.3525
27,2023-02-24 00:48:00,,-5.35,,0.2216,42.38,-4.4159999999999995
28,2023-02-24 00:50:00,29.72,,0.4273,,42.38,-6.516666666666666
29,2023-02-24 00:52:00,,3.62,,0.0583,38.391666666666666,-6.516666666666666
30,2023-02-24 00:55:00,24.81,,0.4365,,38.391666666666666,-7.143999999999998
31,2023-02-24 01:05:00,,-4.67,,0.1296,35.56333333333333,-9.613333333333332
32,2023-02-24 01:07:00,20.36,,0.5149,,35.56333333333333,-9.613333333333332
33,2023-02-24 01:10:00,,-17.02,,0.3899,36.732,-10.465999999999998
34,2023-02-24 01:12:00,18.45,,0.405,,36.732,-13.987499999999999
35,2023-02-24 01:18:00,,-18.72,,0.5258,45.022000000000006,-19.824
36,2023-02-24 01:20:00,49.57,,1.0195,,45.022000000000006,-23.625
37,2023-02-24 01:22:00,,-15.54,,0.3196,47.945,-23.625
38,2023-02-24 01:25:00,70.47,,1.4771,,47.945,-27.415999999999997
39,2023-02-24 01:35:00,,-43.17,,1.0234,66.74666666666667,-31.425
40,2023-02-24 01:37:00,66.26,,1.5554,,66.74666666666667,-31.425
41,2023-02-24 01:40:00,,-42.63,,0.982,70.182,-33.966
42,2023-02-24 01:42:00,62.56,,1.5757,,70.182,-38.572500000000005
43,2023-02-24 01:48:00,,-29.83,,0.8091,74.888,-43.116
44,2023-02-24 01:50:00,71.76,,2.0073,,74.888,-44.68
45,2023-02-24 01:52:00,,-38.66,,1.096,79.04333333333334,-44.68
46,2023-02-24 01:55:00,79.86,,2.3295,,79.04333333333334,-44.98199999999999
47,2023-02-24 02:05:00,,-61.29,,1.9335,91.94833333333332,-47.38166666666667
48,2023-02-24 02:07:00,94.0,,2.965,,91.94833333333332,-47.38166666666667
49,2023-02-24 02:10:00,,-52.5,,1.7228,95.98599999999999,-50.892
50,2023-02-24 02:12:00,99.82,,3.1545,,95.98599999999999,-53.95
51,2023-02-24 02:17:00,,-43.77,,1.4212,103.924,-56.40999999999999
52,2023-02-24 02:20:00,101.36,,3.1379,,103.924,-55.931666666666665
53,2023-02-24 02:22:00,,-58.24,,1.8066,104.00833333333333,-55.931666666666665
54,2023-02-24 02:25:00,104.89,,3.2498,,104.00833333333333,-54.85999999999999
55,2023-02-24 02:35:00,,-66.25,,2.1009,99.11833333333334,-41.458333333333336
56,2023-02-24 02:37:00,119.55,,3.8624,,99.11833333333334,-40.995999999999995
57,2023-02-24 02:40:00,,-53.54,,1.7856,98.67,-40.995999999999995
58,2023-02-24 02:42:00,104.43,,3.4689,,98.67,-36.685
59,2023-02-24 02:47:00,,-22.56,,2.5855,91.924,-30.077999999999996
60,2023-02-24 02:50:00,80.31,,2.9182,,91.924,-26.031666666666666
61,2023-02-24 02:52:00,,-4.39,,0.1923,87.26833333333333,-26.031666666666666
62,2023-02-24 02:55:00,84.17,,3.0555,,87.26833333333333,-17.987999999999996
63,2023-02-24 03:05:00,,-3.65,,0.1424,80.705,-9.078333333333331
64,2023-02-24 03:07:00,71.16,,2.6002,,80.705,-6.381999999999997
65,2023-02-24 03:10:00,,-5.8,,0.2014,80.78399999999999,-6.381999999999997
66,2023-02-24 03:12:00,63.99,,2.3857,,80.78399999999999,-6.879999999999996
67,2023-02-24 03:17:00,,-6.53,,0.2227,79.338,-7.5159999999999965
68,2023-02-24 03:19:00,87.94,,3.0949,,79.338,-7.5159999999999965
69,2023-02-24 03:22:00,,-11.54,,0.3847,77.835,-7.686666666666664
70,2023-02-24 03:25:00,96.66,,3.3265,,77.835,-8.493999999999996
71,2023-02-24 03:35:00,,-10.06,,0.3211,72.45833333333333,-10.621666666666664
72,2023-02-24 03:37:00,76.94,,2.4476,,72.45833333333333,-11.439999999999998
73,2023-02-24 03:40:00,,-8.54,,0.2612,69.362,-11.439999999999998
74,2023-02-24 03:42:00,70.32,,2.1415,,69.362,-11.414999999999996
75,2023-02-24 03:48:00,,-14.73,,0.4069,59.652,-11.809999999999997
76,2023-02-24 03:50:00,54.52,,1.455,,59.652,-12.18833333333333
77,2023-02-24 03:52:00,,-12.33,,0.3146,58.31166666666667,-12.18833333333333
78,2023-02-24 03:55:00,48.37,,1.1566,,58.31166666666667,-12.613999999999997
79,2023-02-24 04:05:00,,-13.39,,0.2578,50.63333333333333,-14.523333333333332
80,2023-02-24 04:07:00,48.11,,0.87,,50.63333333333333,-14.523333333333332
81,2023-02-24 04:10:00,,-14.08,,0.2287,49.856,-14.481999999999996
82,2023-02-24 04:12:00,51.61,,0.8307,,49.856,-15.019999999999996
83,2023-02-24 04:18:00,,-16.0,,0.3337,48.834,-10.885999999999997
84,2023-02-24 04:20:00,52.49,,0.7468,,48.834,-6.6966666666666645
85,2023-02-24 04:22:00,,-16.61,,0.2119,48.22,-6.6966666666666645
86,2023-02-24 04:25:00,48.7,,0.6292,,48.22,-5.357999999999997
87,2023-02-24 04:35:00,,5.65,,0.0604,46.099999999999994,-1.569999999999997
88,2023-02-24 04:37:00,43.26,,0.4706,,46.099999999999994,-1.569999999999997
89,2023-02-24 04:40:00,,14.25,,0.227,44.821999999999996,1.3160000000000036
90,2023-02-24 04:42:00,45.15,,0.4526,,44.821999999999996,5.797500000000005
91,2023-02-24 04:47:00,,6.98,,0.1124,41.352,5.198000000000004
92,2023-02-24 04:50:00,47.54,,0.4442,,41.352,6.083333333333336
93,2023-02-24 04:52:00,,-3.69,,0.1008,40.38333333333333,6.083333333333336
94,2023-02-24 04:55:00,39.46,,0.3542,,40.38333333333333,6.1700000000000035
95,2023-02-24 05:05:00,,2.8,,0.0259,37.538333333333334,7.9983333333333375
96,2023-02-24 05:07:00,31.35,,0.2492,,37.538333333333334,8.202000000000004
97,2023-02-24 05:10:00,,10.51,,0.1049,35.538,8.202000000000004
98,2023-02-24 05:12:00,35.54,,0.2748,,35.538,11.175000000000006
99,2023-02-24 05:17:00,,14.48,,0.1095,34.492,11.736000000000004
100,2023-02-24 05:19:00,35.06,,0.2636,,34.492,11.736000000000004
101,2023-02-24 05:22:00,,16.91,,0.1259,33.11333333333334,10.505000000000004
102,2023-02-24 05:25:00,36.28,,0.2691,,33.11333333333334,12.046000000000003
103,2023-02-24 05:34:00,,13.98,,0.1073,31.908000000000005,10.755000000000003
104,2023-02-24 05:37:00,34.23,,0.2506,,32.545,10.010000000000002
105,2023-02-24 05:40:00,,4.35,,0.0439,32.042,10.010000000000002
106,2023-02-24 05:42:00,26.22,,0.1903,,32.042,8.285000000000004
107,2023-02-24 05:47:00,,3.99,,0.0296,33.042,8.474000000000004
108,2023-02-24 05:49:00,27.75,,0.204,,33.042,8.474000000000004
109,2023-02-24 05:52:00,,10.82,,0.0795,34.21333333333333,8.790000000000003
110,2023-02-24 05:55:00,35.73,,0.2654,,34.21333333333333,7.752000000000004
111,2023-02-24 06:04:00,,9.23,,0.0695,36.75599999999999,10.468333333333335
112,2023-02-24 06:07:00,41.28,,0.3132,,36.93333333333333,11.764000000000003
113,2023-02-24 06:10:00,,10.37,,0.0856,38.77,11.764000000000003
114,2023-02-24 06:12:00,40.07,,0.3075,,38.77,12.000000000000004
115,2023-02-24 06:17:00,,15.09,,0.117,37.022,11.410000000000004
116,2023-02-24 06:19:00,38.95,,0.3049,,37.022,11.410000000000004
117,2023-02-24 06:22:00,,13.31,,0.1052,34.45666666666667,11.628333333333337
118,2023-02-24 06:25:00,37.82,,0.2991,,34.45666666666667,12.108000000000004
119,2023-02-24 06:34:00,,9.05,,0.0747,28.413999999999998,10.968333333333335
120,2023-02-24 06:37:00,26.99,,0.218,,26.605,10.144000000000004
121,2023-02-24 06:40:00,,12.72,,0.1097,24.136,10.144000000000004
122,2023-02-24 06:42:00,21.63,,0.1803,,24.136,9.352500000000004
123,2023-02-24 06:47:00,,12.08,,0.1013,23.837999999999997,9.198000000000004
124,2023-02-24 06:49:00,16.68,,0.1529,,23.837999999999997,9.198000000000004
125,2023-02-24 06:52:00,,3.56,,0.0514,27.02666666666666,11.095000000000004
126,2023-02-24 06:55:00,17.56,,0.1588,,27.02666666666666,11.504000000000005
127,2023-02-24 07:04:00,,8.58,,0.0748,31.921666666666667,16.62
128,2023-02-24 07:07:00,36.33,,0.3214,,31.921666666666667,17.528000000000002
129,2023-02-24 07:10:00,,20.58,,0.296,34.97,17.528000000000002
130,2023-02-24 07:12:00,42.97,,0.3873,,34.97,21.020000000000003
131,2023-02-24 07:17:00,,27.6,,0.2535,38.814,21.586000000000006
132,2023-02-24 07:19:00,39.95,,0.3782,,38.814,22.288333333333338
133,2023-02-24 07:22:00,,27.32,,0.2596,37.305,22.288333333333338
134,2023-02-24 07:24:00,38.04,,0.3729,,37.305,25.030000000000005
135,2023-02-24 07:34:00,,23.85,,0.2408,33.60666666666667,28.46666666666667
136,2023-02-24 07:37:00,36.78,,0.3691,,33.60666666666667,28.640000000000004
137,2023-02-24 07:39:00,,25.8,,0.2622,32.338,28.640000000000004
138,2023-02-24 07:42:00,29.76,,0.2997,,32.338,28.970000000000002
139,2023-02-24 07:47:00,,34.2,,0.3521,29.95,26.28000000000001
140,2023-02-24 07:49:00,26.82,,0.2788,,29.95,23.610000000000003
141,2023-02-24 07:52:00,,32.03,,0.3326,29.976666666666663,23.610000000000003
142,2023-02-24 07:54:00,30.29,,0.324,,29.976666666666663,23.562000000000005
143,2023-02-24 08:04:00,,15.52,,0.1788,25.076666666666668,10.495000000000003
144,2023-02-24 08:07:00,26.1,,0.3049,,25.076666666666668,5.754000000000003
145,2023-02-24 08:09:00,,10.26,,0.1524,24.728,5.754000000000003
146,2023-02-24 08:12:00,30.11,,0.3914,,24.728,-0.814999999999996
147,2023-02-24 08:17:00,,-10.8,,0.3265,18.0,-2.4659999999999966
148,2023-02-24 08:19:00,25.64,,0.4336,,18.0,-2.856666666666664
149,2023-02-24 08:22:00,,-18.24,,0.5044,13.238333333333335,-2.856666666666664
150,2023-02-24 08:24:00,11.5,,0.1734,,13.238333333333335,-6.5319999999999965
151,2023-02-24 08:34:00,,-9.07,,0.1694,-4.27,-5.1199999999999966
152,2023-02-24 08:37:00,-3.35,,0.0608,,-4.27,-3.983999999999996
153,2023-02-24 08:39:00,,-4.81,,0.0893,-10.251999999999999,-3.983999999999996
154,2023-02-24 08:42:00,-10.57,,0.1931,,-10.251999999999999,-0.4199999999999964
155,2023-02-24 08:47:00,,4.75,,0.0851,-17.509999999999998,1.5880000000000027
156,2023-02-24 08:49:00,-24.47,,0.4086,,-17.509999999999998,2.960000000000002
157,2023-02-24 08:52:00,,7.45,,0.1275,-19.203333333333333,2.960000000000002
158,2023-02-24 08:54:00,-24.37,,0.3969,,-19.203333333333333,5.366000000000002
159,2023-02-24 09:04:00,,9.62,,0.1425,-25.28,11.573333333333336
160,2023-02-24 09:07:00,-24.79,,0.3533,,-25.28,12.938000000000002
161,2023-02-24 09:09:00,,9.82,,0.1371,-25.442,12.938000000000002
162,2023-02-24 09:12:00,-27.67,,0.3865,,-25.442,14.310000000000002
163,2023-02-24 09:17:00,,17.97,,0.3657,-26.959999999999997,14.158000000000001
164,2023-02-24 09:19:00,-24.95,,0.3277,,-26.959999999999997,13.238333333333335
165,2023-02-24 09:22:00,,19.83,,0.2505,-28.69333333333333,13.238333333333335
166,2023-02-24 09:24:00,-25.43,,0.2947,,-28.69333333333333,13.962000000000003
167,2023-02-24 09:34:00,,13.55,,0.133,-33.48666666666667,12.585
168,2023-02-24 09:37:00,-31.96,,0.3034,,-33.48666666666667,11.508000000000001
169,2023-02-24 09:39:00,,8.64,,0.1461,-35.194,11.508000000000001
170,2023-02-24 09:42:00,-37.36,,0.3278,,-35.194,9.427500000000002
171,2023-02-24 09:47:00,,4.72,,0.0397,-37.635000000000005,11.098000000000003
172,2023-02-24 09:49:00,-41.74,,0.3485,,-37.635000000000005,11.098000000000003
173,2023-02-24 09:52:00,,10.8,,0.1191,-37.635000000000005,11.098000000000003
174,2023-02-24 09:54:00,-39.48,,0.324,,-37.635000000000005,10.485000000000003
